# chl_car	water	dry_albino	lignin_cellulose	protein
0	2.38E-05	0	1.67E-05	2.20E-04
0	2.42E-05	0	1.64E-05	2.13E-04
0	2.46E-05	0	1.60E-05	2.10E-04
0	2.47E-05	0	1.57E-05	2.00E-04
0	2.47E-05	0	1.54E-05	1.92E-04
0	2.47E-05	0	1.54E-05	1.90E-04
0	2.46E-05	0	1.54E-05	1.82E-04
0	2.46E-05	0	1.53E-05	1.80E-04
0	2.46E-05	0	1.53E-05	1.80E-04
0	2.46E-05	0	1.51E-05	1.80E-04
0	2.49E-05	0	1.48E-05	1.75E-04
0	2.49E-05	0	1.48E-05	1.70E-04
0	2.55E-05	0	1.44E-05	1.67E-04
0	2.64E-05	0	1.42E-05	1.57E-04
0	2.76E-05	0	1.39E-05	1.52E-04
0	2.94E-05	0	1.37E-05	1.52E-04
0	3.24E-05	0	1.34E-05	1.50E-04
0	3.62E-05	0	1.35E-05	1.42E-04
0	4.18E-05	0	1.37E-05	1.55E-04
0	5.08E-05	0	1.38E-05	1.47E-04
0	6.50E-05	0	1.41E-05	1.45E-04
0	8.38E-05	0	1.44E-05	1.50E-04
0	1.13E-04	0	1.50E-05	1.67E-04
0	1.47E-04	0	1.59E-05	1.90E-04
0	1.76E-04	0	1.72E-05	2.18E-04
0	0.000217	0	1.86E-05	2.48E-04
0	0.000259	0	1.99E-05	3.10E-04
0	0.000294	0	2.11E-05	3.70E-04
0	0.000319	0	2.19E-05	4.34E-04
0	0.000328	0	2.25E-05	4.69E-04
0	0.000333	0	2.28E-05	0.00052
0	0.000339	0	2.31E-05	0.000559
0	0.000339	0	2.32E-05	0.000583
0	0.000326	0	2.31E-05	0.000588
0	0.000328	0	2.31E-05	0.000603
0	0.000315	0	2.32E-05	0.000622
0	0.000309	0	2.33E-05	0.000622
0	0.000296	0	2.32E-05	0.000622
0	0.00029	0	2.31E-05	0.000637
0	0.000273	0	2.32E-05	0.000617
0	0.000249	0	2.34E-05	0.000627
0	0.000234	0	2.39E-05	0.000627
0	0.00022	0	2.42E-05	0.000617
0	0.000209	0	2.48E-05	0.000603
0	0.000199	0	2.57E-05	0.000612
0	0.000187	0	2.70E-05	0.000608
0	1.80E-04	0	2.86E-05	0.000603
0	1.70E-04	0	3.05E-05	0.000603
0	1.64E-04	0	3.28E-05	0.000588
0	1.56E-04	0	3.55E-05	0.000617
0	1.51E-04	0	3.87E-05	0.000627
0	1.44E-04	0	4.19E-05	0.000651
0	1.39E-04	0	4.53E-05	0.00069
0	1.34E-04	0	4.87E-05	0.000749
0	1.29E-04	0	5.19E-05	0.000812
0	1.25E-04	0	5.49E-05	0.00086
0	1.21E-04	0	5.78E-05	0.000909
0	1.16E-04	0	6.00E-05	0.000933
